"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"RAB11FIP3",1347,1535,1429,1189,2137,742,1273,1327,916,638
"CAPN15",1591,2154,2774,1910,4573,939,1445,1333,1046,392
"LA16c-366D1.3",0,0,0,0,0,0,0,0,0,0
"C16orf11",0,0,0,0,0,0,0,0,0,0
"PIGQ",806,938,1344,1315,1989,566,1020,907,898,514
"NHLRC4",6,1,18,23,29,0,13,8,0,0
"RAB40C",515,503,986,764,1140,406,398,530,630,190
"WFIKKN1",9,26,102,68,98,20,69,40,81,18
"C16orf13",916,1082,1408,1261,1226,710,476,574,785,484
"FAM195A",998,1199,2535,3843,2994,1462,1051,1230,1914,1049
"AL022341.3",2,1,15,18,9,4,9,1,6,7
"WDR90",543,779,736,521,724,236,318,506,742,194
"LA16c-349E10.1",0,0,0,0,0,0,0,0,0,0
"RHOT2",2059,2934,2613,1999,3281,1033,1557,1915,2108,861
"RHBDL1",148,177,54,56,99,32,20,43,32,12
"LA16c-313D11.9",4,6,0,4,12,6,0,4,12,6
"STUB1",990,948,908,1129,1578,966,795,890,900,585
"JMJD8",400,607,842,623,820,500,632,604,558,345
"WDR24",463,444,444,432,705,330,490,625,492,280
"FBXL16",4,6,30,22,16,0,6,10,0,0
"LA16c-380A1.1",2,0,2,0,0,0,0,0,0,0
"METRN",910,693,2153,1588,2851,703,737,385,707,578
"FAM173A",306,360,1538,2105,2926,805,666,478,579,318
"CCDC78",40,16,14,18,6,10,6,8,14,4
"HAGHL",143,306,96,50,98,6,16,9,9,8
"NARFL",550,681,571,714,1409,499,441,463,592,344
"MSLN",2,10,22,0,8,10,8,4,0,0
"MSLNL",2,0,0,0,0,0,0,0,0,0
"RPUSD1",645,630,638,593,918,233,488,304,274,145
"CHTF18",398,1154,333,319,453,85,160,282,271,53
"GNG13",6,2,0,0,0,0,0,0,0,0
"PRR25",2,4,2,5,2,0,0,0,4,0
"LMF1",280,321,610,499,610,194,399,344,387,184
"LA16c-306A4.1",4,3,0,6,2,0,2,0,0,0
"LA16c-366D3.1",4,0,0,0,0,0,0,0,0,0
"RP11-161M6.2",12,83,28,6,60,2,0,8,2,0
"AC009041.2",0,0,0,0,0,0,0,0,0,0
"SOX8",10,32,46,0,14,0,2,0,0,0
"RP11-161M6.3",0,0,0,0,0,0,0,0,0,0
"RP11-161M6.5",0,1,6,0,20,10,2,0,2,2
"SSTR5",0,0,14,4,16,4,0,0,4,2
"C1QTNF8",0,0,0,0,0,0,0,0,0,0
"LA16c-381G6.1",0,0,0,1,8,0,0,1,0,0
"CACNA1H",343,1404,7037,4912,11394,2219,442,4213,4091,1354
"RP11-616M22.1",0,0,8,0,5,0,0,0,2,0
"RP11-616M22.2",4,0,4,0,4,2,0,2,4,1
"RP11-616M22.3",0,0,0,0,2,0,0,0,2,0
"TPSG1",0,0,14,43,64,8,0,6,13,8
"TPSAB1",4,0,838,73,242,3,2,44,0,8
"TPSD1",0,0,56,1,4,1,0,0,0,0
"PRSS29P",2,0,0,0,1,0,0,0,0,0
"RP11-616M22.7",10,29,8,10,20,7,6,6,10,1
"UBE2I",1797,2439,927,786,1120,404,569,734,662,378
"LA16c-358B7.3",82,129,52,38,36,13,24,47,40,13
"BAIAP3",300,392,503,372,685,269,101,476,410,208
"TSR3",787,772,1477,1478,2416,733,731,749,797,625
"GNPTG",1970,1840,1978,2255,1802,1470,1265,1570,1479,1307
"LA16c-316G12.2",8,13,5,0,4,0,0,2,3,0
"UNKL",264,307,424,380,781,178,240,311,383,90
